Date,WeekCode,WeekNo,MonthNo,Month,MonthWeek,Quarter,Year,YearMonth,SSSeas
1/1/2017,201649,49,1,JAN,1-1,Q4,2016,2016-1,SS16
1/2/2017,201649,49,1,JAN,1-1,Q4,2016,2016-1,SS16
1/3/2017,201649,49,1,JAN,1-1,Q4,2016,2016-1,SS16
1/4/2017,201649,49,1,JAN,1-1,Q4,2016,2016-1,SS16
1/5/2017,201649,49,1,JAN,1-1,Q4,2016,2016-1,SS16
1/6/2017,201649,49,1,JAN,1-1,Q4,2016,2016-1,SS16
1/7/2017,201649,49,1,JAN,1-1,Q4,2016,2016-1,SS16
1/8/2017,201650,50,1,JAN,1-2,Q4,2016,2016-1,SS16
1/9/2017,201650,50,1,JAN,1-2,Q4,2016,2016-1,SS16
1/10/2017,201650,50,1,JAN,1-2,Q4,2016,2016-1,SS16
1/11/2017,201650,50,1,JAN,1-2,Q4,2016,2016-1,SS16
1/12/2017,201650,50,1,JAN,1-2,Q4,2016,2016-1,SS16
1/13/2017,201650,50,1,JAN,1-2,Q4,2016,2016-1,SS16
1/14/2017,201650,50,1,JAN,1-2,Q4,2016,2016-1,SS16
1/15/2017,201651,51,1,JAN,1-3,Q4,2016,2016-1,SS16
1/16/2017,201651,51,1,JAN,1-3,Q4,2016,2016-1,SS16
1/17/2017,201651,51,1,JAN,1-3,Q4,2016,2016-1,SS16
1/18/2017,201651,51,1,JAN,1-3,Q4,2016,2016-1,SS16
1/19/2017,201651,51,1,JAN,1-3,Q4,2016,2016-1,SS16
1/20/2017,201651,51,1,JAN,1-3,Q4,2016,2016-1,SS16
1/21/2017,201651,51,1,JAN,1-3,Q4,2016,2016-1,SS16
1/22/2017,201652,52,1,JAN,1-4,Q4,2016,2016-1,SS16
1/23/2017,201652,52,1,JAN,1-4,Q4,2016,2016-1,SS16
1/24/2017,201652,52,1,JAN,1-4,Q4,2016,2016-1,SS16
1/25/2017,201652,52,1,JAN,1-4,Q4,2016,2016-1,SS16
1/26/2017,201652,52,1,JAN,1-4,Q4,2016,2016-1,SS16
1/27/2017,201652,52,1,JAN,1-4,Q4,2016,2016-1,SS16
1/28/2017,201652,52,1,JAN,1-4,Q4,2016,2016-1,SS16
1/29/2017,201701,01,2,FEB,2-1,Q1,2017,2017-2,SS17
1/30/2017,201701,01,2,FEB,2-1,Q1,2017,2017-2,SS17
1/31/2017,201701,01,2,FEB,2-1,Q1,2017,2017-2,SS17
2/1/2017,201701,01,2,FEB,2-1,Q1,2017,2017-2,SS17
2/2/2017,201701,01,2,FEB,2-1,Q1,2017,2017-2,SS17
2/3/2017,201701,01,2,FEB,2-1,Q1,2017,2017-2,SS17
2/4/2017,201701,01,2,FEB,2-1,Q1,2017,2017-2,SS17
2/5/2017,201702,02,2,FEB,2-2,Q1,2017,2017-2,SS17
2/6/2017,201702,02,2,FEB,2-2,Q1,2017,2017-2,SS17
2/7/2017,201702,02,2,FEB,2-2,Q1,2017,2017-2,SS17
2/8/2017,201702,02,2,FEB,2-2,Q1,2017,2017-2,SS17
2/9/2017,201702,02,2,FEB,2-2,Q1,2017,2017-2,SS17
2/10/2017,201702,02,2,FEB,2-2,Q1,2017,2017-2,SS17
2/11/2017,201702,02,2,FEB,2-2,Q1,2017,2017-2,SS17
2/12/2017,201703,03,2,FEB,2-3,Q1,2017,2017-2,SS17
2/13/2017,201703,03,2,FEB,2-3,Q1,2017,2017-2,SS17
2/14/2017,201703,03,2,FEB,2-3,Q1,2017,2017-2,SS17
2/15/2017,201703,03,2,FEB,2-3,Q1,2017,2017-2,SS17
2/16/2017,201703,03,2,FEB,2-3,Q1,2017,2017-2,SS17
2/17/2017,201703,03,2,FEB,2-3,Q1,2017,2017-2,SS17
2/18/2017,201703,03,2,FEB,2-3,Q1,2017,2017-2,SS17
2/19/2017,201704,04,2,FEB,2-4,Q1,2017,2017-2,SS17
2/20/2017,201704,04,2,FEB,2-4,Q1,2017,2017-2,SS17
2/21/2017,201704,04,2,FEB,2-4,Q1,2017,2017-2,SS17
2/22/2017,201704,04,2,FEB,2-4,Q1,2017,2017-2,SS17
2/23/2017,201704,04,2,FEB,2-4,Q1,2017,2017-2,SS17
2/24/2017,201704,04,2,FEB,2-4,Q1,2017,2017-2,SS17
2/25/2017,201704,04,2,FEB,2-4,Q1,2017,2017-2,SS17
2/26/2017,201705,05,3,MAR,3-1,Q1,2017,2017-3,SS17
2/27/2017,201705,05,3,MAR,3-1,Q1,2017,2017-3,SS17
2/28/2017,201705,05,3,MAR,3-1,Q1,2017,2017-3,SS17
3/1/2017,201705,05,3,MAR,3-1,Q1,2017,2017-3,SS17
3/2/2017,201705,05,3,MAR,3-1,Q1,2017,2017-3,SS17
3/3/2017,201705,05,3,MAR,3-1,Q1,2017,2017-3,SS17
3/4/2017,201705,05,3,MAR,3-1,Q1,2017,2017-3,SS17
3/5/2017,201706,06,3,MAR,3-2,Q1,2017,2017-3,SS17
3/6/2017,201706,06,3,MAR,3-2,Q1,2017,2017-3,SS17
3/7/2017,201706,06,3,MAR,3-2,Q1,2017,2017-3,SS17
3/8/2017,201706,06,3,MAR,3-2,Q1,2017,2017-3,SS17
3/9/2017,201706,06,3,MAR,3-2,Q1,2017,2017-3,SS17
3/10/2017,201706,06,3,MAR,3-2,Q1,2017,2017-3,SS17
3/11/2017,201706,06,3,MAR,3-2,Q1,2017,2017-3,SS17
3/12/2017,201707,07,3,MAR,3-3,Q1,2017,2017-3,SS17
3/13/2017,201707,07,3,MAR,3-3,Q1,2017,2017-3,SS17
3/14/2017,201707,07,3,MAR,3-3,Q1,2017,2017-3,SS17
3/15/2017,201707,07,3,MAR,3-3,Q1,2017,2017-3,SS17
3/16/2017,201707,07,3,MAR,3-3,Q1,2017,2017-3,SS17
3/17/2017,201707,07,3,MAR,3-3,Q1,2017,2017-3,SS17
