ItemID,DCS,Style,Category,ColorDes,Size,Season,RetailPrice,Cost
31703,MENDNMPNT,MDM7260A,Pants,DK.VINTAGE,28/30,FW16,98,40
31704,MENDNMPNT,MDM7260A,Pants,DK.VINTAGE,29/30,FW16,98,40
31705,MENDNMPNT,MDM7260A,Pants,DK.VINTAGE,30/30,FW16,98,40
31706,MENDNMPNT,MDM7260A,Pants,DK.VINTAGE,31/30,FW16,98,40
31707,MENDNMPNT,MDM7260A,Pants,DK.VINTAGE,32/30,FW16,98,40
31708,MENDNMPNT,MDM7260A,Pants,DK.VINTAGE,30/32,FW16,98,40
31709,MENDNMPNT,MDM7260A,Pants,DK.VINTAGE,31/32,FW16,98,40
31710,MENDNMPNT,MDM7260A,Pants,DK.VINTAGE,32/32,FW16,98,40
31711,MENDNMPNT,MDM7260A,Pants,DK.VINTAGE,33/32,FW16,98,40
31712,MENDNMPNT,MDM7260A,Pants,DK.VINTAGE,34/32,FW16,98,40
31713,MENDNMPNT,MDM7260A,Pants,MD.WASH,28/30,FW16,98,40
31714,MENDNMPNT,MDM7260A,Pants,MD.WASH,29/30,FW16,98,40
31715,MENDNMPNT,MDM7260A,Pants,MD.WASH,30/30,FW16,98,40
31716,MENDNMPNT,MDM7260A,Pants,MD.WASH,31/30,FW16,98,40
31717,MENDNMPNT,MDM7260A,Pants,MD.WASH,32/30,FW16,98,40
31718,MENDNMPNT,MDM7260A,Pants,MD.WASH,30/32,FW16,98,40
31719,MENDNMPNT,MDM7260A,Pants,MD.WASH,31/32,FW16,98,40
31720,MENDNMPNT,MDM7260A,Pants,MD.WASH,32/32,FW16,98,40
31721,MENDNMPNT,MDM7260A,Pants,MD.WASH,33/32,FW16,98,40
31722,MENDNMPNT,MDM7260A,Pants,MD.WASH,34/32,FW16,98,40
31723,MENDNMPNT,MDM7260B,Pants,DK.WASH,28/30,FW16,98,40
31724,MENDNMPNT,MDM7260B,Pants,DK.WASH,29/30,FW16,98,40
31725,MENDNMPNT,MDM7260B,Pants,DK.WASH,30/30,FW16,98,40
31726,MENDNMPNT,MDM7260B,Pants,DK.WASH,31/30,FW16,98,40
31727,MENDNMPNT,MDM7260B,Pants,DK.WASH,32/30,FW16,98,40
31728,MENDNMPNT,MDM7260B,Pants,DK.WASH,30/32,FW16,98,40
31729,MENDNMPNT,MDM7260B,Pants,DK.WASH,31/32,FW16,98,40
31730,MENDNMPNT,MDM7260B,Pants,DK.WASH,32/32,FW16,98,40
31731,MENDNMPNT,MDM7260B,Pants,DK.WASH,33/32,FW16,98,40
31732,MENDNMPNT,MDM7260B,Pants,DK.WASH,34/32,FW16,98,40
31733,MENDNMPNT,MDM7260C,Pants,JET BLACK,28/30,FW16,128,40
31734,MENDNMPNT,MDM7260C,Pants,JET BLACK,29/30,FW16,128,40
31735,MENDNMPNT,MDM7260C,Pants,JET BLACK,30/30,FW16,128,40
31736,MENDNMPNT,MDM7260C,Pants,JET BLACK,31/30,FW16,128,40
31737,MENDNMPNT,MDM7260C,Pants,JET BLACK,32/30,FW16,128,40
31738,MENDNMPNT,MDM7260C,Pants,JET BLACK,30/32,FW16,128,40
31739,MENDNMPNT,MDM7260C,Pants,JET BLACK,31/32,FW16,128,40
31740,MENDNMPNT,MDM7260C,Pants,JET BLACK,32/32,FW16,128,40
31741,MENDNMPNT,MDM7260C,Pants,JET BLACK,33/32,FW16,128,40
31742,MENDNMPNT,MDM7260C,Pants,JET BLACK,34/32,FW16,128,40
31743,MENDNMPNT,MDM7260C,Pants,CHARCOAL,28/30,FW16,128,40
31744,MENDNMPNT,MDM7260C,Pants,CHARCOAL,29/30,FW16,128,40
31745,MENDNMPNT,MDM7260C,Pants,CHARCOAL,30/30,FW16,128,40
31746,MENDNMPNT,MDM7260C,Pants,CHARCOAL,31/30,FW16,128,40
31747,MENDNMPNT,MDM7260C,Pants,CHARCOAL,32/30,FW16,128,40
31748,MENDNMPNT,MDM7260C,Pants,CHARCOAL,30/32,FW16,128,40
31749,MENDNMPNT,MDM7260C,Pants,CHARCOAL,31/32,FW16,128,40
31750,MENDNMPNT,MDM7260C,Pants,CHARCOAL,32/32,FW16,128,40
31751,MENDNMPNT,MDM7260C,Pants,CHARCOAL,33/32,FW16,128,40
31752,MENDNMPNT,MDM7260C,Pants,CHARCOAL,34/32,FW16,128,40
31753,MENDNMPNT,MDM7261A,Pants,RINSE WASH,28/30,FW16,98,40
31754,MENDNMPNT,MDM7261A,Pants,RINSE WASH,29/30,FW16,98,40
31755,MENDNMPNT,MDM7261A,Pants,RINSE WASH,30/30,FW16,98,40
31756,MENDNMPNT,MDM7261A,Pants,RINSE WASH,31/30,FW16,98,40
31757,MENDNMPNT,MDM7261A,Pants,RINSE WASH,32/30,FW16,98,40
31758,MENDNMPNT,MDM7261A,Pants,RINSE WASH,30/32,FW16,98,40
31759,MENDNMPNT,MDM7261A,Pants,RINSE WASH,31/32,FW16,98,40
31760,MENDNMPNT,MDM7261A,Pants,RINSE WASH,32/32,FW16,98,40
31761,MENDNMPNT,MDM7261A,Pants,RINSE WASH,33/32,FW16,98,40
31762,MENDNMPNT,MDM7261A,Pants,RINSE WASH,34/32,FW16,98,40
31763,MENDNMPNT,MDM7261A,Pants,DK.MD.VINTAGE,28/30,FW16,98,40
31764,MENDNMPNT,MDM7261A,Pants,DK.MD.VINTAGE,29/30,FW16,98,40
31765,MENDNMPNT,MDM7261A,Pants,DK.MD.VINTAGE,30/30,FW16,98,40
31766,MENDNMPNT,MDM7261A,Pants,DK.MD.VINTAGE,31/30,FW16,98,40
31767,MENDNMPNT,MDM7261A,Pants,DK.MD.VINTAGE,32/30,FW16,98,40
31768,MENDNMPNT,MDM7261A,Pants,DK.MD.VINTAGE,30/32,FW16,98,40
31769,MENDNMPNT,MDM7261A,Pants,DK.MD.VINTAGE,31/32,FW16,98,40
31770,MENDNMPNT,MDM7261A,Pants,DK.MD.VINTAGE,32/32,FW16,98,40
31771,MENDNMPNT,MDM7261A,Pants,DK.MD.VINTAGE,33/32,FW16,98,40
31772,MENDNMPNT,MDM7261A,Pants,DK.MD.VINTAGE,34/32,FW16,98,40
31773,MENDNMPNT,MDM7261B,Pants,JET BLACK,28/30,FW16,98,40
31774,MENDNMPNT,MDM7261B,Pants,JET BLACK,29/30,FW16,98,40
31775,MENDNMPNT,MDM7261B,Pants,JET BLACK,30/30,FW16,98,40
31776,MENDNMPNT,MDM7261B,Pants,JET BLACK,31/30,FW16,98,40
31777,MENDNMPNT,MDM7261B,Pants,JET BLACK,32/30,FW16,98,40
31778,MENDNMPNT,MDM7261B,Pants,JET BLACK,30/32,FW16,98,40
31779,MENDNMPNT,MDM7261B,Pants,JET BLACK,31/32,FW16,98,40
31780,MENDNMPNT,MDM7261B,Pants,JET BLACK,32/32,FW16,98,40
31781,MENDNMPNT,MDM7261B,Pants,JET BLACK,33/32,FW16,98,40
31782,MENDNMPNT,MDM7261B,Pants,JET BLACK,34/32,FW16,98,40
31783,MENDNMPNT,MDM7261C,Pants,LT.GREY,28/30,FW16,98,40
31784,MENDNMPNT,MDM7261C,Pants,LT.GREY,29/30,FW16,98,40
31785,MENDNMPNT,MDM7261C,Pants,LT.GREY,30/30,FW16,98,40
31786,MENDNMPNT,MDM7261C,Pants,LT.GREY,31/30,FW16,98,40
31787,MENDNMPNT,MDM7261C,Pants,LT.GREY,32/30,FW16,98,40
31788,MENDNMPNT,MDM7261C,Pants,LT.GREY,30/32,FW16,98,40
31789,MENDNMPNT,MDM7261C,Pants,LT.GREY,31/32,FW16,98,40
31790,MENDNMPNT,MDM7261C,Pants,LT.GREY,32/32,FW16,98,40
31791,MENDNMPNT,MDM7261C,Pants,LT.GREY,33/32,FW16,98,40
31792,MENDNMPNT,MDM7261C,Pants,LT.GREY,34/32,FW16,98,40
31793,MENDNMPNT,MDM7262A,Pants,DK.RINSE WASH,28/30,FW16,98,40
31794,MENDNMPNT,MDM7262A,Pants,DK.RINSE WASH,29/30,FW16,98,40
31795,MENDNMPNT,MDM7262A,Pants,DK.RINSE WASH,30/30,FW16,98,40
31796,MENDNMPNT,MDM7262A,Pants,DK.RINSE WASH,31/30,FW16,98,40
31797,MENDNMPNT,MDM7262A,Pants,DK.RINSE WASH,32/30,FW16,98,40
31798,MENDNMPNT,MDM7262A,Pants,DK.RINSE WASH,30/32,FW16,98,40
31799,MENDNMPNT,MDM7262A,Pants,DK.RINSE WASH,31/32,FW16,98,40
31800,MENDNMPNT,MDM7262A,Pants,DK.RINSE WASH,32/32,FW16,98,40
31801,MENDNMPNT,MDM7262A,Pants,DK.RINSE WASH,33/32,FW16,98,40
31802,MENDNMPNT,MDM7262A,Pants,DK.RINSE WASH,34/32,FW16,98,40
31803,MENDNMPNT,MDM7262A,Pants,MD.VINTAGE,28/30,FW16,98,40
31804,MENDNMPNT,MDM7262A,Pants,MD.VINTAGE,29/30,FW16,98,40
31805,MENDNMPNT,MDM7262A,Pants,MD.VINTAGE,30/30,FW16,98,40
31806,MENDNMPNT,MDM7262A,Pants,MD.VINTAGE,31/30,FW16,98,40
31807,MENDNMPNT,MDM7262A,Pants,MD.VINTAGE,32/30,FW16,98,40
31808,MENDNMPNT,MDM7262A,Pants,MD.VINTAGE,30/32,FW16,98,40
31809,MENDNMPNT,MDM7262A,Pants,MD.VINTAGE,31/32,FW16,98,40
